Português BR,Galego,Espanhol
(Eu) me chamo ,,Me llamo 
(Eu) me chamo ,,Mi Nombre es
(Eu) sou de,,(Yo) soy de
(Eu) tenho x anos.,,(Yo) tengo x años 
a respeito de,,respecto
ação,,acción
acordo,,acuerdo
adeus,adeus,adios
agora,,ahora
água,auga,auga
ainda que,,aunque
aldeia,aldea,aldea
além de,,además
amigo/a,amigo/a,amigo/a
ano,,año
após,,luego
assinatura,,firma
até,,hasta
aula,,clase (lección)
balcão,,mostrador
batata,,papa
bebida,bebida,bebida
bem,ben,bien
"Bem, obrigado(a)",,"Bien, gracias "
Boa noite,,Buenas noches 
Boa tarde,,Buenas tardes 
bom,ben,bueno
Bom dia,,Buenos días
brincar,,jugar/bromear
cabeça,,cabeza
cadeira,,silla
carro,coche,coche
casa,casa,casa 
cena,,escena
centro,,centro
certo,,correcto
chegar,,llegar
cidade,cidade,ciudad
Claro,,Claro
coelho,,conejo
coisa,cousa,cosa
colar,,pegar
Com licença!,,¡Perdon! 
combinar,,quedar/concertar
comida,comida,comida
como,como,como
Como estão as coisas?,,¿Cómo te va? 
Como sempre,,Como siempre
Como vai você? (formal),,¿Cómo está usted?
Como?,,¿Cómo? 
competência,,cualificación/incumbencia
conseguir,,lograr
conta,,cuenta
"converter, mudar",,convertir
copo,,vaso/copa
corpo,,cuerpo
criança,neno/nena,niño/niña
De nada! / Não tem de quê!,,¡De nada! 
De onde você é?,,¿De dónde viene?
Desculpe!,,¡Disculpe!
desenho,,dibujo
desenvolvimento,,desarrollo
dia,día,día
direito,,derecho
"ditado, dito",,dicho
diz,,dice
dizer,,decir
E você?,,¿Y tú?
em direção a/contra,,hacia
engraçado,,gracioso/mono
enquanto,,mientras
então,,entonces
Entendeu?,,¿Entiende? 
"equipe, time",,equipo
escola,escola,escuela
escova,,cepillo
espanhol,,español
espantoso,,maravilloso/extraordinario
esperto,,despierto/vivo/listo
esquisito,,raro/excéntrico
estão/estava,,están/estaba
exemplo,,ejemplo
falar,falar,hablar
família,,familia
fazer,,hacer
feito,,hecho
fez,,hizo
filho/a,fillo/a,hijo
fim/final,,fin/final
foi/foram,,fue/ron
frase,frase,frase
gente,,gente
"geral, general (patente do exército)",,general
governo,,gobierno
grupo,,grupo
guerra,,guerra
haver,,haber
havia,,había
história,,historia
hoje,hoxe,hoy
homem,home,hombre
inclusive,,incluso
internacional,,internacional
irmão,irmán,hermano/hermana
josé,,josé
juan,,juan
lado,,lado
largo,,ancho/plaza
lei,,ley
língua (idioma),lingua,idioma
língua (órgão),lingua,lengua
livro,libro,libro
lua,lúa,luna
mãe,,madre
maioria,,mayoría
Mais ou menos,,"Así, así "
mal,mal,mal
"maneira, modo, jeito",,manera
mão/s,,mano/s
mar,mar,mar
mas,,pero
meio,,medio
melhor,,mejor
mercado,,mercado
mesmo/a,,mismo/a
ministro,,ministro
mudança,,cambio
muito,moi,muy
Muito bem,,Muy bien
Muito obrigado(a)!,,¡Muchas gracias! 
mulher,muller,mujer
música,música,música
nacional,,nacional
nada,,nada
não,non,no
ninguém,,nadie
nível,,nivel
noite,noite,noche
novo,,nuevo
nunca,,nunca
O que significa [palavra]?,,¿Qué significa [palavra]?
O que você tem feito?,,¿Qué haces? 
O quê?,,¿Qué? 
obra,,obra
Obrigado(a)!,,¡Gracias! 
obrigado/a,grazas,gracias
olá,ola,hola
"Olá, (eu) sou Markus",,"Hola, soy Markus "
onça,lince,jaguar
onde,onde,dónde 
Onde fica o hotel [nome do hotel]?,,¿Dónde está [nome do hotel] hotel?
Onde posso encontrar um táxi?,,¿Dónde puedo encontrar un taxi?
Onde você mora?,,¿Dónde vives? 
Onde?,,¿Dónde?
oração,oración,oración
organização,,organización
osso,,hueso
pai,,padre
palabras,,palabras
palavra,palabra,palabra
palavras-chave,palabras clave,palabras clave
parece,,parece
partido,,partido
partir,,partir
passado,,pasado
pastel,,empanada
pegar,,agarrar
pessoas,,personas
Pode me ajudar?,,¿Puede ayudarme? 
podem,,pueden
poder,,poder
Poderia falar mais devagar?,,¿Puedes hablar más despacio?
Poderia falar novamente?,,¡Puede repetirlo!
pois,,pues
política,,política
polvo,,pulpo
ponto,,punto
por favor,por favor,por favor
Por quê?,,¿Por qué?
possível,,posible
posso,podo,puedo
Posso ajudá-lo(a)?,,¿Podría ayudarle? 
pouco,pouco,poco
praia,praia,playa
presidente,,presidente
programa,,programa
projeto,,proyecto
próprio,,propio
Quais as novidades?,,¿Qué pasa?
Qual é seu nome?,,¿Cómo te llamas? 
Qual?,,¿Cuál? 
qualidade,,calidad
quando,cando,cuando
Quando?,,¿Cuándo? 
Quanto custa isto?,,¿Cuánto cuesta eso?
Que horas são?,,¿Qué hora tienes? 
quê/que,que,qué
Quem?,,¿Quién? 
quer,,quiere
quero,quero,quiero
realidade,,realidad
relação,,relación
rio,río,río
"segundo, de acordo com",,según
segurança,,seguridad
semana,,semana
sentido,,sentido
"ser, seja, será",,"ser, sea, será"
sim,si,si
Sinto muito! ,,¡Lo siento! 
sistema,,sistema
situação,,situación
sob,,bajo
social,,social
sociedade,,sociedad
sol,sol,sol
Talvez,,Tal vez 
também,,también
tarde,,tarde
tempo,tempo,tiempo
"ter, têm, teve",,"tener, tienen, tuvo"
terra,terra,tierra
tipo,,tipo
toalha,,toalla
"todo, tudo",,todo
trabalho,traballo,trabajo
Tudo bem? (informal),,¿Cómo estás? 
Tudo certo? (informal) / E aí?,,¿Qué tal? 
vai,,va
ver,,ver
vida,,vida
